muni,mes,ano,desastre,uf,valor_parcela,rio_doce,afetado,pop
ABADIA DOS DOURADOS,01,2015,Antes do Desastre,MG,13224,0,0,6603
ABADIA DOS DOURADOS,01,2016,Após o Desastre,MG,6856,0,0,6603
ABADIA DOS DOURADOS,02,2015,Antes do Desastre,MG,11692,0,0,6603
ABADIA DOS DOURADOS,02,2016,Após o Desastre,MG,22880,0,0,6603
ABADIA DOS DOURADOS,03,2015,Antes do Desastre,MG,11032,0,0,6603
ABADIA DOS DOURADOS,03,2016,Após o Desastre,MG,14080,0,0,6603
ABADIA DOS DOURADOS,12,2014,Antes do Desastre,MG,7964,0,0,6603
ABADIA DOS DOURADOS,12,2015,Após o Desastre,MG,2364,0,0,6603
ABAETE,01,2015,Antes do Desastre,MG,385244,0,0,22450
ABAETE,01,2016,Após o Desastre,MG,38928,0,0,22450
ABAETE,02,2015,Antes do Desastre,MG,129956,0,0,22450
ABAETE,02,2016,Após o Desastre,MG,609840,0,0,22450
ABAETE,03,2015,Antes do Desastre,MG,327808,0,0,22450
ABAETE,03,2016,Após o Desastre,MG,132000.83,0,0,22450
ABAETE,04,2015,Antes do Desastre,MG,788,0,0,22450
ABAETE,04,2016,Após o Desastre,MG,6160,0,0,22450
ABAETE,06,2016,Após o Desastre,MG,7040,0,0,22450
ABAETE,07,2016,Após o Desastre,MG,2640,0,0,22450
ABAETE,12,2014,Antes do Desastre,MG,430780,0,0,22450
ABAETE,12,2015,Após o Desastre,MG,198576,0,0,22450
ABRE CAMPO,02,2016,Após o Desastre,MG,1760,1,0,12804
ABRE CAMPO,12,2015,Após o Desastre,MG,788,1,0,12804
AFONSO CLAUDIO,02,2016,Após o Desastre,ES,1760,1,0,30658
AGUA COMPRIDA,01,2015,Antes do Desastre,MG,10584,0,0,1997
AGUA COMPRIDA,01,2016,Após o Desastre,MG,2364,0,0,1997
AGUA COMPRIDA,02,2015,Antes do Desastre,MG,6304,0,0,1997
AGUA COMPRIDA,02,2016,Após o Desastre,MG,17600,0,0,1997
AGUA COMPRIDA,03,2015,Antes do Desastre,MG,10244,0,0,1997
AGUA COMPRIDA,03,2016,Após o Desastre,MG,5280,0,0,1997
AGUA COMPRIDA,12,2014,Antes do Desastre,MG,12308,0,0,1997
AGUA COMPRIDA,12,2015,Após o Desastre,MG,5516,0,0,1997
AGUANIL,01,2015,Antes do Desastre,MG,100856,0,0,4024
AGUANIL,01,2016,Após o Desastre,MG,37616,0,0,4024
