nome_munic,cod_ibge,uf_cod,micro,meso,regiao,rio_doce,uf,afetado
ABRE CAMPO,3100302,31,31061,3112,3,1,MG,0
ACAIACA,3100401,31,31060,3112,3,1,MG,0
ACUCENA,3100500,31,31039,3108,3,1,MG,0
AFONSO CLAUDIO,3200102,32,32007,3203,3,1,ES,0
AGUA BOA,3100609,31,31036,3108,3,1,MG,0
AGUIA BRANCA,3200136,32,32002,3201,3,1,ES,0
AIMORES,3101102,31,31041,3108,3,1,MG,1
ALPERCATA,3101805,31,31037,3108,3,1,MG,1
ALTO JEQUITIBA,3153509,31,31061,3112,3,1,MG,0
ALTO RIO DOCE,3102100,31,31062,3112,3,1,MG,0
ALTO RIO NOVO,3200359,32,32003,3201,3,1,ES,0
ALVARENGA,3102209,31,31041,3108,3,1,MG,0
ALVINOPOLIS,3102308,31,31031,3107,3,1,MG,0
ALVORADA DE MINAS,3102407,31,31028,3107,3,1,MG,0
AMPARO DO SERRA,3102506,31,31062,3112,3,1,MG,0
ANTONIO DIAS,3103009,31,31039,3108,3,1,MG,0
ARAPONGA,3103702,31,31062,3112,3,1,MG,0
BAIXO GUANDU,3200805,32,32003,3201,3,1,ES,1
BARAO DE COCAIS,3105400,31,31031,3107,3,1,MG,0
BARRA LONGA,3105707,31,31060,3112,3,1,MG,1
BELA VISTA DE MINAS,3106002,31,31031,3107,3,1,MG,0
BELO ORIENTE,3106309,31,31039,3108,3,1,MG,1
BOM JESUS DO AMPARO,3107703,31,31031,3107,3,1,MG,0
BOM JESUS DO GALHO,3107802,31,31040,3108,3,1,MG,1
BRAS PIRES,3108701,31,31062,3112,3,1,MG,0
BRAUNAS,3108800,31,31035,3108,3,1,MG,0
BREJETUBA,3201159,32,32007,3203,3,1,ES,0
BUGRE,3109253,31,31040,3108,3,1,MG,1
CAJURI,3110202,31,31062,3112,3,1,MG,0
CAMPANARIO,3110806,31,31037,3108,3,1,MG,0
CANAA,3111705,31,31062,3112,3,1,MG,0
CANTAGALO,3112059,31,31036,3108,3,1,MG,0
CAPELA NOVA,3112208,31,31059,3111,3,1,MG,0
CAPITAO ANDRADE,3112653,31,31037,3108,3,1,MG,0
CAPUTIRA,3112901,31,31061,3112,3,1,MG,0
CARANAIBA,3113107,31,31059,3111,3,1,MG,0
CARANDAI,3113206,31,31059,3111,3,1,MG,0
